学科,区域,机构数,截尾平均citations_per_paper,最低值,最高值
MOLECULAR BIOLOGY & GENETICS,Africa,4,48.818,44.2,53.66
MOLECULAR BIOLOGY & GENETICS,Asia,193,33.874,21.66,57.01
MOLECULAR BIOLOGY & GENETICS,South America,8,29.313,24.02,34.67
MULTIDISCIPLINARY,North America,81,65.814,40.88,108.86
MULTIDISCIPLINARY,Europe,59,56.158,39.04,84.19
MULTIDISCIPLINARY,Asia,23,53.562,35.0,95.88
MULTIDISCIPLINARY,Oceania,3,43.11,41.59,44.14
NEUROSCIENCE & BEHAVIOR,其他,46,257.291,19.02,1537.33
NEUROSCIENCE & BEHAVIOR,Africa,15,147.879,41.65,392.88
NEUROSCIENCE & BEHAVIOR,Oceania,47,33.676,24.38,46.98
NEUROSCIENCE & BEHAVIOR,South America,18,33.116,18.24,87.63
NEUROSCIENCE & BEHAVIOR,North America,310,31.155,22.14,47.46
NEUROSCIENCE & BEHAVIOR,Europe,398,30.221,21.59,43.4
NEUROSCIENCE & BEHAVIOR,Asia,198,28.891,15.61,137.92
PHARMACOLOGY & TOXICOLOGY,其他,28,36.535,16.06,182.38
PHARMACOLOGY & TOXICOLOGY,Oceania,31,22.315,19.13,26.64
PHARMACOLOGY & TOXICOLOGY,North America,242,21.882,16.36,29.87
PHARMACOLOGY & TOXICOLOGY,Europe,388,20.357,15.12,29.27
PHARMACOLOGY & TOXICOLOGY,Africa,28,16.349,13.55,19.0
PHARMACOLOGY & TOXICOLOGY,Asia,366,16.151,11.79,22.12
PHARMACOLOGY & TOXICOLOGY,South America,24,14.461,11.58,17.34
PHYSICS,其他,16,67.504,18.04,280.19
PHYSICS,Oceania,11,35.558,25.45,47.41
PHYSICS,North America,192,35.153,22.98,62.34
PHYSICS,Europe,312,28.351,18.94,41.63
PHYSICS,Africa,14,25.692,17.92,31.23
PHYSICS,South America,16,25.081,16.91,36.44
PHYSICS,Asia,226,21.399,12.55,35.19
PLANT & ANIMAL SCIENCE,其他,63,20.596,10.06,57.11
PLANT & ANIMAL SCIENCE,Oceania,55,18.802,14.27,25.34
PLANT & ANIMAL SCIENCE,Europe,542,18.373,11.43,28.12
PLANT & ANIMAL SCIENCE,North America,303,17.574,12.13,28.28
PLANT & ANIMAL SCIENCE,Asia,455,14.209,8.4,24.74
PLANT & ANIMAL SCIENCE,Africa,50,13.24,10.24,18.07
PLANT & ANIMAL SCIENCE,South America,86,10.17,7.5,13.98
PSYCHIATRY PSYCHOLOGY,South America,15,27.267,11.02,54.42
PSYCHIATRY PSYCHOLOGY,其他,31,26.267,11.69,58.51
PSYCHIATRY PSYCHOLOGY,Oceania,54,20.656,15.09,31.31
PSYCHIATRY PSYCHOLOGY,North America,343,19.252,14.49,26.57
PSYCHIATRY PSYCHOLOGY,Europe,351,19.059,13.59,27.53
PSYCHIATRY PSYCHOLOGY,Africa,8,17.723,13.75,22.64
PSYCHIATRY PSYCHOLOGY,Asia,111,14.067,9.89,18.51
"SOCIAL SCIENCES, GENERAL",其他,85,36.322,9.82,250.56
"SOCIAL SCIENCES, GENERAL",Europe,655,13.902,8.84,22.36
"SOCIAL SCIENCES, GENERAL",North America,559,13.603,9.28,21.15
"SOCIAL SCIENCES, GENERAL",Oceania,85,13.547,10.38,21.12
"SOCIAL SCIENCES, GENERAL",Asia,427,13.291,8.2,23.45
"SOCIAL SCIENCES, GENERAL",Africa,57,11.925,8.71,18.28
"SOCIAL SCIENCES, GENERAL",South America,49,9.206,6.52,15.59
SPACE SCIENCE,Europe,89,45.633,36.25,61.05
SPACE SCIENCE,North America,67,44.046,33.48,56.96
SPACE SCIENCE,Oceania,7,40.56,34.27,48.07
SPACE SCIENCE,Asia,16,27.003,18.96,34.11
